State,Style,beers,beer total for state,beer % overall by state,beer % of overall total,comparisong between state and overall %
AR,American Pale Ale (APA),1,1,100.00%,10.89%,89.11%
DE,American Pale Ale (APA),1,1,100.00%,10.89%,89.11%
NH,American IPA,1,2,50.00%,21.42%,28.58%
NH,American Pilsner,1,2,50.00%,1.00%,49.00%
WV,American Black Ale,1,2,50.00%,1.42%,48.58%
WV,American Pale Ale (APA),1,2,50.00%,10.89%,39.11%
FL,American IPA,17,37,45.95%,21.42%,24.52%
ME,American IPA,3,7,42.86%,21.42%,21.43%
TN,American IPA,2,5,40.00%,21.42%,18.58%
WA,American IPA,17,43,39.53%,21.42%,18.11%
NJ,American IPA,3,8,37.50%,21.42%,16.08%
AK,American IPA,6,17,35.29%,21.42%,13.87%
ID,American IPA,6,17,35.29%,21.42%,13.87%
CT,American Double / Imperial IPA,2,6,33.33%,5.34%,28.00%
ND,American IPA,1,3,33.33%,21.42%,11.91%
ND,American Pale Ale (APA),1,3,33.33%,10.89%,22.44%
ND,Scottish Ale,1,3,33.33%,0.78%,32.55%
NE,Extra Special / Strong Bitter (ESB),3,9,33.33%,1.00%,32.34%
NM,American IPA,2,6,33.33%,21.42%,11.91%
MI,American IPA,12,38,31.58%,21.42%,10.16%
MD,American IPA,3,10,30.00%,21.42%,8.58%
GA,American Brown Ale,2,7,28.57%,2.70%,25.87%
GA,American IPA,2,7,28.57%,21.42%,7.15%
CA,American IPA,38,135,28.15%,21.42%,6.72%
OK,American Amber / Red Ale,3,11,27.27%,5.48%,21.79%
OK,American Blonde Ale,3,11,27.27%,4.34%,22.93%
UT,American IPA,3,11,27.27%,21.42%,5.85%
MT,American IPA,6,23,26.09%,21.42%,4.66%
VA,American IPA,9,35,25.71%,21.42%,4.29%
MA,American IPA,13,51,25.49%,21.42%,4.07%
DC,American Blonde Ale,1,4,25.00%,4.34%,20.66%
DC,American Double / Imperial IPA,1,4,25.00%,5.34%,19.66%
DC,American IPA,1,4,25.00%,21.42%,3.58%
DC,Hefeweizen,1,4,25.00%,1.92%,23.08%
MO,American IPA,7,29,24.14%,21.42%,2.71%
AL,American IPA,2,9,22.22%,21.42%,0.80%
AL,American Pale Ale (APA),2,9,22.22%,10.89%,11.33%
HI,American Amber / Red Lager,4,18,22.22%,1.14%,21.08%
HI,American IPA,4,18,22.22%,21.42%,0.80%
NE,American Pale Ale (APA),2,9,22.22%,10.89%,11.33%
OH,American Pale Ale (APA),7,32,21.88%,10.89%,10.99%
OR,American IPA,19,87,21.84%,21.42%,0.42%
AZ,American IPA,5,24,20.83%,21.42%,-0.59%
LA,American IPA,2,10,20.00%,21.42%,-1.42%
LA,American Pale Ale (APA),2,10,20.00%,10.89%,9.11%
LA,Fruit / Vegetable Beer,2,10,20.00%,2.14%,17.86%
NC,American Pale Ale (APA),6,30,20.00%,10.89%,9.11%
SC,American IPA,1,5,20.00%,21.42%,-1.42%
SC,American Porter,1,5,20.00%,2.78%,17.22%
SC,Belgian Pale Ale,1,5,20.00%,0.57%,19.43%
SC,Gose,1,5,20.00%,0.50%,19.50%
SC,Witbier,1,5,20.00%,1.71%,18.29%
TN,American Pale Ale (APA),1,5,20.00%,10.89%,9.11%
TN,American Pilsner,1,5,20.00%,1.00%,19.00%
TN,Czech Pilsener,1,5,20.00%,1.14%,18.86%
VA,American Pale Ale (APA),7,35,20.00%,10.89%,9.11%
IN,American IPA,18,91,19.78%,21.42%,-1.64%
MN,American IPA,9,46,19.57%,21.42%,-1.86%
PA,American IPA,9,47,19.15%,21.42%,-2.27%
OH,American IPA,6,32,18.75%,21.42%,-2.67%
MS,American Blonde Ale,2,11,18.18%,4.34%,13.84%
MS,American IPA,2,11,18.18%,21.42%,-3.24%
MS,American Pale Ale (APA),2,11,18.18%,10.89%,7.29%
OK,American IPA,2,11,18.18%,21.42%,-3.24%
UT,American Double / Imperial IPA,2,11,18.18%,5.34%,12.84%
UT,American Pale Ale (APA),2,11,18.18%,10.89%,7.29%
ID,American Pale Ale (APA),3,17,17.65%,10.89%,6.76%
VT,American Double / Imperial IPA,3,17,17.65%,5.34%,12.31%
VT,Fruit / Vegetable Beer,3,17,17.65%,2.14%,15.51%
NY,American IPA,8,46,17.39%,21.42%,-4.03%
CO,American Pale Ale (APA),25,146,17.12%,10.89%,6.23%
CT,American Blonde Ale,1,6,16.67%,4.34%,12.33%
CT,American IPA,1,6,16.67%,21.42%,-4.76%
