State,Style,beers,beer total for state,beer % overall by state,beer % of overall total,comparisong between state and overall %
AR,American Pale Ale (APA),1,1,100.00%,10.91%,89.09%
DE,American Pale Ale (APA),1,1,100.00%,10.91%,89.09%
NH,American IPA,1,2,50.00%,21.45%,28.55%
NH,American Pilsner,1,2,50.00%,1.00%,49.00%
WV,American Black Ale,1,2,50.00%,1.43%,48.57%
WV,American Pale Ale (APA),1,2,50.00%,10.91%,39.09%
FL,American IPA,17,37,45.95%,21.45%,24.49%
ME,American IPA,3,7,42.86%,21.45%,21.40%
TN,American IPA,2,5,40.00%,21.45%,18.55%
WA,American IPA,17,43,39.53%,21.45%,18.08%
NJ,American IPA,3,8,37.50%,21.45%,16.05%
AK,American IPA,6,17,35.29%,21.45%,13.84%
ID,American IPA,6,17,35.29%,21.45%,13.84%
CT,American Double / Imperial IPA,2,6,33.33%,5.35%,27.99%
ND,American IPA,1,3,33.33%,21.45%,11.88%
ND,American Pale Ale (APA),1,3,33.33%,10.91%,22.43%
ND,Scottish Ale,1,3,33.33%,0.78%,32.55%
NE,Extra Special / Strong Bitter (ESB),3,9,33.33%,1.00%,32.34%
NM,American IPA,2,6,33.33%,21.45%,11.88%
MI,American IPA,12,38,31.58%,21.45%,10.12%
MD,American IPA,3,10,30.00%,21.45%,8.55%
GA,American Brown Ale,2,7,28.57%,2.71%,25.86%
GA,American IPA,2,7,28.57%,21.45%,7.12%
CA,American IPA,38,135,28.15%,21.45%,6.69%
OK,American Amber / Red Ale,3,11,27.27%,5.49%,21.78%
OK,American Blonde Ale,3,11,27.27%,4.35%,22.92%
UT,American IPA,3,11,27.27%,21.45%,5.82%
MT,American IPA,6,23,26.09%,21.45%,4.63%
VA,American IPA,9,35,25.71%,21.45%,4.26%
MA,American IPA,13,51,25.49%,21.45%,4.04%
DC,American Blonde Ale,1,4,25.00%,4.35%,20.65%
DC,American Double / Imperial IPA,1,4,25.00%,5.35%,19.65%
DC,American IPA,1,4,25.00%,21.45%,3.55%
DC,Hefeweizen,1,4,25.00%,1.92%,23.08%
MO,American IPA,7,29,24.14%,21.45%,2.68%
AL,American IPA,2,9,22.22%,21.45%,0.77%
AL,American Pale Ale (APA),2,9,22.22%,10.91%,11.32%
HI,American Amber / Red Lager,4,18,22.22%,1.14%,21.08%
HI,American IPA,4,18,22.22%,21.45%,0.77%
NE,American Pale Ale (APA),2,9,22.22%,10.91%,11.32%
OH,American Pale Ale (APA),7,32,21.88%,10.91%,10.97%
OR,American IPA,19,87,21.84%,21.45%,0.39%
AZ,American IPA,5,23,21.74%,21.45%,0.29%
LA,American IPA,2,10,20.00%,21.45%,-1.45%
LA,American Pale Ale (APA),2,10,20.00%,10.91%,9.09%
LA,Fruit / Vegetable Beer,2,10,20.00%,2.14%,17.86%
NC,American Pale Ale (APA),6,30,20.00%,10.91%,9.09%
SC,American IPA,1,5,20.00%,21.45%,-1.45%
SC,American Porter,1,5,20.00%,2.78%,17.22%
SC,Belgian Pale Ale,1,5,20.00%,0.57%,19.43%
SC,Gose,1,5,20.00%,0.50%,19.50%
SC,Witbier,1,5,20.00%,1.71%,18.29%
TN,American Pale Ale (APA),1,5,20.00%,10.91%,9.09%
TN,American Pilsner,1,5,20.00%,1.00%,19.00%
TN,Czech Pilsener,1,5,20.00%,1.14%,18.86%
VA,American Pale Ale (APA),7,35,20.00%,10.91%,9.09%
IN,American IPA,18,91,19.78%,21.45%,-1.67%
MN,American IPA,9,46,19.57%,21.45%,-1.89%
PA,American IPA,9,47,19.15%,21.45%,-2.31%
OH,American IPA,6,32,18.75%,21.45%,-2.70%
MS,American Blonde Ale,2,11,18.18%,4.35%,13.83%
MS,American IPA,2,11,18.18%,21.45%,-3.27%
MS,American Pale Ale (APA),2,11,18.18%,10.91%,7.28%
OK,American IPA,2,11,18.18%,21.45%,-3.27%
UT,American Double / Imperial IPA,2,11,18.18%,5.35%,12.84%
UT,American Pale Ale (APA),2,11,18.18%,10.91%,7.28%
ID,American Pale Ale (APA),3,17,17.65%,10.91%,6.74%
VT,American Double / Imperial IPA,3,17,17.65%,5.35%,12.30%
VT,Fruit / Vegetable Beer,3,17,17.65%,2.14%,15.51%
NY,American IPA,8,46,17.39%,21.45%,-4.06%
CO,American Pale Ale (APA),25,146,17.12%,10.91%,6.22%
CT,American Blonde Ale,1,6,16.67%,4.35%,12.32%
CT,American IPA,1,6,16.67%,21.45%,-4.79%
CT,Berliner Weissbier,1,6,16.67%,0.36%,16.31%
CT,Fruit / Vegetable Beer,1,6,16.67%,2.14%,14.53%
NC,American IPA,5,30,16.67%,21.45%,-4.79%
NM,American Amber / Red Ale,1,6,16.67%,5.49%,11.18%
NM,American Black Ale,1,6,16.67%,1.43%,15.24%
NM,Hefeweizen,1,6,16.67%,1.92%,14.74%
NM,Saison / Farmhouse Ale,1,6,16.67%,1.64%,15.03%
WI,American Adjunct Lager,7,42,16.67%,0.78%,15.88%
WI,American IPA,7,42,16.67%,21.45%,-4.79%
WY,American Amber / Red Ale,2,12,16.67%,5.49%,11.18%
WY,American IPA,2,12,16.67%,21.45%,-4.79%
WY,American Pale Ale (APA),2,12,16.67%,10.91%,5.76%
WY,English Brown Ale,2,12,16.67%,0.71%,15.95%
WA,American Pale Ale (APA),7,43,16.28%,10.91%,5.37%
OR,American Pale Wheat Ale,14,87,16.09%,4.35%,11.74%
KS,American IPA,3,19,15.79%,21.45%,-5.66%
KS,American Pale Wheat Ale,3,19,15.79%,4.35%,11.44%
CO,American IPA,23,146,15.75%,21.45%,-5.70%
IL,American Pale Ale (APA),6,39,15.38%,10.91%,4.48%
GA,American Blonde Ale,1,7,14.29%,4.35%,9.94%
GA,American Pale Ale (APA),1,7,14.29%,10.91%,3.38%
GA,German Pilsener,1,7,14.29%,1.21%,13.07%
KY,American Double / Imperial IPA,2,14,14.29%,5.35%,8.94%
KY,American IPA,2,14,14.29%,21.45%,-7.17%
ME,American Amber / Red Ale,1,7,14.29%,5.49%,8.80%
ME,American Pale Ale (APA),1,7,14.29%,10.91%,3.38%
ME,American Pale Wheat Ale,1,7,14.29%,4.35%,9.94%
ME,Hefeweizen,1,7,14.29%,1.92%,12.36%
MO,American Pale Wheat Ale,4,29,13.79%,4.35%,9.45%
MT,American Brown Ale,3,23,13.04%,2.71%,10.33%
MT,American Pale Wheat Ale,3,23,13.04%,4.35%,8.70%
IL,American IPA,5,39,12.82%,21.45%,-8.63%
AZ,American Pale Ale (APA),3,23,13.04%,10.91%,2.14%
AZ,American Porter,3,23,13.04%,2.78%,10.26%
NJ,American Black Ale,1,8,12.50%,1.43%,11.07%
NJ,American Double / Imperial IPA,1,8,12.50%,5.35%,7.15%
NJ,Berliner Weissbier,1,8,12.50%,0.36%,12.14%
NJ,Irish Dry Stout,1,8,12.50%,0.21%,12.29%
NJ,Witbier,1,8,12.50%,1.71%,10.79%
NV,American Adjunct Lager,1,8,12.50%,0.78%,11.72%
NV,American Amber / Red Ale,1,8,12.50%,5.49%,7.01%
NV,American Black Ale,1,8,12.50%,1.43%,11.07%
NV,American Double / Imperial IPA,1,8,12.50%,5.35%,7.15%
NV,American Pale Ale (APA),1,8,12.50%,10.91%,1.59%
NV,Hefeweizen,1,8,12.50%,1.92%,10.58%
NV,Herbed / Spiced Beer,1,8,12.50%,0.36%,12.14%
NV,Schwarzbier,1,8,12.50%,0.29%,12.21%
OH,American Amber / Red Ale,4,32,12.50%,5.49%,7.01%
IA,American Brown Ale,3,25,12.00%,2.71%,9.29%
IA,American Pale Ale (APA),3,25,12.00%,10.91%,1.09%
IA,Irish Red Ale,3,25,12.00%,0.57%,11.43%
AK,American Blonde Ale,2,17,11.76%,4.35%,7.42%
AK,American Pale Ale (APA),2,17,11.76%,10.91%,0.86%
VT,Altbier,2,17,11.76%,0.57%,11.19%
OR,American Pale Ale (APA),10,87,11.49%,10.91%,0.59%
AL,American Brown Ale,1,9,11.11%,2.71%,8.40%
AL,American Double / Imperial IPA,1,9,11.11%,5.35%,5.77%
AL,Kölsch,1,9,11.11%,1.92%,9.19%
AL,Milk / Sweet Stout,1,9,11.11%,0.43%,10.68%
AL,Oatmeal Stout,1,9,11.11%,0.78%,10.33%
HI,American Amber / Red Ale,2,18,11.11%,5.49%,5.62%
HI,American Porter,2,18,11.11%,2.78%,8.33%
NE,American IPA,1,9,11.11%,21.45%,-10.34%
NE,English Brown Ale,1,9,11.11%,0.71%,10.40%
NE,Hefeweizen,1,9,11.11%,1.92%,9.19%
NE,Pumpkin Ale,1,9,11.11%,0.78%,10.33%
KS,American Brown Ale,2,19,10.53%,2.71%,7.82%
KS,Milk / Sweet Stout,2,19,10.53%,0.43%,10.10%
KS,Saison / Farmhouse Ale,2,19,10.53%,1.64%,8.89%
MO,American Blonde Ale,3,29,10.34%,4.35%,6.00%
OR,American Amber / Red Ale,9,87,10.34%,5.49%,4.86%
IL,American Double / Imperial IPA,4,39,10.26%,5.35%,4.91%
IL,American Pale Wheat Ale,4,39,10.26%,4.35%,5.91%
TX,American Blonde Ale,9,88,10.23%,4.35%,5.88%
TX,American IPA,9,88,10.23%,21.45%,-11.23%
TX,American Pale Ale (APA),9,88,10.23%,10.91%,-0.68%
LA,American Amber / Red Ale,1,10,10.00%,5.49%,4.51%
LA,American Amber / Red Lager,1,10,10.00%,1.14%,8.86%
LA,American Blonde Ale,1,10,10.00%,4.35%,5.65%
LA,American Porter,1,10,10.00%,2.78%,7.22%
MD,American Blonde Ale,1,10,10.00%,4.35%,5.65%
MD,American Double / Imperial IPA,1,10,10.00%,5.35%,4.65%
MD,American Pale Lager,1,10,10.00%,1.14%,8.86%
MD,American Porter,1,10,10.00%,2.78%,7.22%
MD,Gose,1,10,10.00%,0.50%,9.50%
MD,Märzen / Oktoberfest,1,10,10.00%,1.50%,8.50%
MD,Rye Beer,1,10,10.00%,0.64%,9.36%
RI,American Amber / Red Ale,2,20,10.00%,5.49%,4.51%
RI,American Pale Ale (APA),2,20,10.00%,10.91%,-0.91%
RI,American Pale Wheat Ale,2,20,10.00%,4.35%,5.65%
RI,American Porter,2,20,10.00%,2.78%,7.22%
RI,Cream Ale,2,20,10.00%,1.28%,8.72%
CA,American Pale Ale (APA),13,135,9.63%,10.91%,-1.28%
WI,American Amber / Red Ale,4,42,9.52%,5.49%,4.04%
WI,American Pale Wheat Ale,4,42,9.52%,4.35%,5.18%
WI,Vienna Lager,4,42,9.52%,1.00%,8.53%
WA,American Amber / Red Ale,4,43,9.30%,5.49%,3.81%
MS,American Amber / Red Ale,1,11,9.09%,5.49%,3.60%
MS,Belgian Pale Ale,1,11,9.09%,0.57%,8.52%
MS,English Dark Mild Ale,1,11,9.09%,0.14%,8.95%
MS,Extra Special / Strong Bitter (ESB),1,11,9.09%,1.00%,8.09%
MS,Oatmeal Stout,1,11,9.09%,0.78%,8.31%
OK,American Dark Wheat Ale,1,11,9.09%,0.36%,8.73%
OK,American Pale Wheat Ale,1,11,9.09%,4.35%,4.74%
OK,American Strong Ale,1,11,9.09%,0.86%,8.24%
UT,American Amber / Red Lager,1,11,9.09%,1.14%,7.95%
UT,American Blonde Ale,1,11,9.09%,4.35%,4.74%
UT,Pumpkin Ale,1,11,9.09%,0.78%,8.31%
UT,Schwarzbier,1,11,9.09%,0.29%,8.81%
TX,American Double / Imperial IPA,8,88,9.09%,5.35%,3.75%
IN,American Pale Ale (APA),8,91,8.79%,10.91%,-2.11%
MN,American Pale Ale (APA),4,46,8.70%,10.91%,-2.21%
MT,American Pale Lager,2,23,8.70%,1.14%,7.56%
MT,American Porter,2,23,8.70%,2.78%,5.92%
MT,English Pale Ale,2,23,8.70%,0.36%,8.34%
MT,Scotch Ale / Wee Heavy,2,23,8.70%,0.93%,7.77%
AZ,American Amber / Red Ale,2,23,8.70%,5.49%,3.21%
AZ,Fruit / Vegetable Beer,2,23,8.70%,2.14%,6.56%
AZ,Hefeweizen,2,23,8.70%,1.92%,6.77%
WY,American Brown Ale,1,12,8.33%,2.71%,5.62%
WY,American Pale Wheat Ale,1,12,8.33%,4.35%,3.99%
WY,Foreign / Export Stout,1,12,8.33%,0.21%,8.12%
WY,Vienna Lager,1,12,8.33%,1.00%,7.34%
FL,American Pale Ale (APA),3,37,8.11%,10.91%,-2.80%
IA,American IPA,2,25,8.00%,21.45%,-13.45%
IA,American Stout,2,25,8.00%,1.14%,6.86%
IA,Rye Beer,2,25,8.00%,0.64%,7.36%
MI,American Blonde Ale,3,38,7.89%,4.35%,3.55%
MI,American Pale Ale (APA),3,38,7.89%,10.91%,-3.01%
MI,American Porter,3,38,7.89%,2.78%,5.11%
CO,American Double / Imperial IPA,11,146,7.53%,5.35%,2.19%
CA,American Double / Imperial IPA,10,135,7.41%,5.35%,2.06%
KY,American Brown Ale,1,14,7.14%,2.71%,4.43%
KY,American Pale Ale (APA),1,14,7.14%,10.91%,-3.76%
KY,American Pilsner,1,14,7.14%,1.00%,6.14%
KY,Belgian Pale Ale,1,14,7.14%,0.57%,6.57%
KY,English Barleywine,1,14,7.14%,0.21%,6.93%
KY,English Brown Ale,1,14,7.14%,0.71%,6.43%
KY,German Pilsener,1,14,7.14%,1.21%,5.93%
KY,Milk / Sweet Stout,1,14,7.14%,0.43%,6.72%
KY,Pumpkin Ale,1,14,7.14%,0.78%,6.36%
KY,Saison / Farmhouse Ale,1,14,7.14%,1.64%,5.50%
MO,Chile Beer,2,29,6.90%,0.14%,6.75%
MO,Fruit / Vegetable Beer,2,29,6.90%,2.14%,4.76%
MO,Munich Helles Lager,2,29,6.90%,0.86%,6.04%
CO,American Amber / Red Ale,10,146,6.85%,5.49%,1.36%
CA,American Amber / Red Ale,9,135,6.67%,5.49%,1.18%
NC,American Double / Imperial IPA,2,30,6.67%,5.35%,1.32%
NC,American Porter,2,30,6.67%,2.78%,3.89%
NC,Kölsch,2,30,6.67%,1.92%,4.74%
IN,American Porter,6,91,6.59%,2.78%,3.81%
MN,American Black Ale,3,46,6.52%,1.43%,5.10%
MN,American Double / Imperial IPA,3,46,6.52%,5.35%,1.18%
MN,Extra Special / Strong Bitter (ESB),3,46,6.52%,1.00%,5.52%
MN,German Pilsener,3,46,6.52%,1.21%,5.31%
NY,American Blonde Ale,3,46,6.52%,4.35%,2.17%
NY,American Pale Ale (APA),3,46,6.52%,10.91%,-4.38%
NY,Cream Ale,3,46,6.52%,1.28%,5.24%
PA,American Brown Ale,3,47,6.38%,2.71%,3.67%
OH,American Blonde Ale,2,32,6.25%,4.35%,1.90%
AK,Altbier,1,17,5.88%,0.57%,5.31%
AK,American Amber / Red Ale,1,17,5.88%,5.49%,0.39%
AK,American Brown Ale,1,17,5.88%,2.71%,3.17%
AK,Hefeweizen,1,17,5.88%,1.92%,3.96%
AK,Irish Dry Stout,1,17,5.88%,0.21%,5.67%
AK,Irish Red Ale,1,17,5.88%,0.57%,5.31%
AK,Witbier,1,17,5.88%,1.71%,4.17%
ID,American Amber / Red Ale,1,17,5.88%,5.49%,0.39%
ID,American Barleywine,1,17,5.88%,0.14%,5.74%
ID,American Blonde Ale,1,17,5.88%,4.35%,1.53%
ID,American Brown Ale,1,17,5.88%,2.71%,3.17%
ID,American Pale Wheat Ale,1,17,5.88%,4.35%,1.53%
ID,American Pilsner,1,17,5.88%,1.00%,4.88%
ID,American Strong Ale,1,17,5.88%,0.86%,5.03%
ID,Cream Ale,1,17,5.88%,1.28%,4.60%
MA,American Amber / Red Ale,3,51,5.88%,5.49%,0.39%
MA,American Double / Imperial IPA,3,51,5.88%,5.35%,0.54%
MA,American India Pale Lager,3,51,5.88%,0.21%,5.67%
MA,Kölsch,3,51,5.88%,1.92%,3.96%
MA,Märzen / Oktoberfest,3,51,5.88%,1.50%,4.39%
MA,Pumpkin Ale,3,51,5.88%,0.78%,5.10%
MA,Vienna Lager,3,51,5.88%,1.00%,4.88%
VT,American Amber / Red Ale,1,17,5.88%,5.49%,0.39%
VT,American IPA,1,17,5.88%,21.45%,-15.57%
VT,American Pale Ale (APA),1,17,5.88%,10.91%,-5.02%
VT,American Porter,1,17,5.88%,2.78%,3.10%
VT,American White IPA,1,17,5.88%,0.43%,5.45%
VT,English India Pale Ale (IPA),1,17,5.88%,0.50%,5.38%
VT,German Pilsener,1,17,5.88%,1.21%,4.67%
VT,Gose,1,17,5.88%,0.50%,5.38%
VT,Hefeweizen,1,17,5.88%,1.92%,3.96%
OR,American Double / Imperial IPA,5,87,5.75%,5.35%,0.40%
VA,Altbier,2,35,5.71%,0.57%,5.14%
VA,Kölsch,2,35,5.71%,1.92%,3.79%
TX,Saison / Farmhouse Ale,5,88,5.68%,1.64%,4.04%
HI,American Blonde Ale,1,18,5.56%,4.35%,1.21%
HI,American Brown Ale,1,18,5.56%,2.71%,2.85%
HI,American Pale Ale (APA),1,18,5.56%,10.91%,-5.35%
HI,American Pale Wheat Ale,1,18,5.56%,4.35%,1.21%
HI,Munich Helles Lager,1,18,5.56%,0.86%,4.70%
HI,Witbier,1,18,5.56%,1.71%,3.84%
IN,American Blonde Ale,5,91,5.49%,4.35%,1.15%
IN,Scotch Ale / Wee Heavy,5,91,5.49%,0.93%,4.57%
FL,American Amber / Red Ale,2,37,5.41%,5.49%,-0.08%
FL,American Blonde Ale,2,37,5.41%,4.35%,1.06%
FL,American Brown Ale,2,37,5.41%,2.71%,2.70%
FL,Witbier,2,37,5.41%,1.71%,3.69%
KS,American Double / Imperial IPA,1,19,5.26%,5.35%,-0.08%
KS,American Porter,1,19,5.26%,2.78%,2.48%
KS,English Pale Mild Ale,1,19,5.26%,0.07%,5.19%
KS,Extra Special / Strong Bitter (ESB),1,19,5.26%,1.00%,4.27%
KS,German Pilsener,1,19,5.26%,1.21%,4.05%
KS,Oatmeal Stout,1,19,5.26%,0.78%,4.48%
KS,Tripel,1,19,5.26%,0.29%,4.98%
MI,American Amber / Red Ale,2,38,5.26%,5.49%,-0.23%
MI,American Pale Lager,2,38,5.26%,1.14%,4.12%
MI,American Pale Wheat Ale,2,38,5.26%,4.35%,0.92%
MI,Munich Helles Lager,2,38,5.26%,0.86%,4.41%
IL,Abbey Single Ale,2,39,5.13%,0.14%,4.99%
IL,American Dark Wheat Ale,2,39,5.13%,0.36%,4.77%
IL,Herbed / Spiced Beer,2,39,5.13%,0.36%,4.77%
IL,Märzen / Oktoberfest,2,39,5.13%,1.50%,3.63%
IL,Witbier,2,39,5.13%,1.71%,3.42%
RI,American Double / Imperial IPA,1,20,5.00%,5.35%,-0.35%
RI,American IPA,1,20,5.00%,21.45%,-16.45%
RI,American Pilsner,1,20,5.00%,1.00%,4.00%
RI,Bock,1,20,5.00%,0.21%,4.79%
RI,German Pilsener,1,20,5.00%,1.21%,3.79%
RI,Kölsch,1,20,5.00%,1.92%,3.08%
RI,Light Lager,1,20,5.00%,0.21%,4.79%
RI,Märzen / Oktoberfest,1,20,5.00%,1.50%,3.50%
RI,Milk / Sweet Stout,1,20,5.00%,0.43%,4.57%
RI,Witbier,1,20,5.00%,1.71%,3.29%
WI,American Black Ale,2,42,4.76%,1.43%,3.34%
WI,American Pale Ale (APA),2,42,4.76%,10.91%,-6.14%
WI,Märzen / Oktoberfest,2,42,4.76%,1.50%,3.27%
WI,Munich Helles Lager,2,42,4.76%,0.86%,3.91%
WA,American Pilsner,2,43,4.65%,1.00%,3.65%
WA,English Pale Ale,2,43,4.65%,0.36%,4.29%
WA,Hefeweizen,2,43,4.65%,1.92%,2.73%
WA,Saison / Farmhouse Ale,2,43,4.65%,1.64%,3.01%
OR,American Blonde Ale,4,87,4.60%,4.35%,0.25%
TX,American Amber / Red Ale,4,88,4.55%,5.49%,-0.94%
TX,Witbier,4,88,4.55%,1.71%,2.83%
CA,Cream Ale,6,135,4.44%,1.28%,3.16%
IN,Dortmunder / Export Lager,4,91,4.40%,0.36%,4.04%
IN,Fruit / Vegetable Beer,4,91,4.40%,2.14%,2.26%
MN,American Brown Ale,2,46,4.35%,2.71%,1.64%
MN,American Pale Wheat Ale,2,46,4.35%,4.35%,0.00%
MN,Rye Beer,2,46,4.35%,0.64%,3.71%
MN,Saison / Farmhouse Ale,2,46,4.35%,1.64%,2.71%
MT,American Pale Ale (APA),1,23,4.35%,10.91%,-6.56%
MT,English Strong Ale,1,23,4.35%,0.21%,4.13%
MT,Hefeweizen,1,23,4.35%,1.92%,2.42%
NY,American Brown Ale,2,46,4.35%,2.71%,1.64%
NY,American Double / Imperial IPA,2,46,4.35%,5.35%,-1.00%
NY,American Pale Wheat Ale,2,46,4.35%,4.35%,0.00%
NY,American Strong Ale,2,46,4.35%,0.86%,3.49%
NY,Baltic Porter,2,46,4.35%,0.21%,4.13%
NY,English India Pale Ale (IPA),2,46,4.35%,0.50%,3.85%
NY,German Pilsener,2,46,4.35%,1.21%,3.14%
NY,Rye Beer,2,46,4.35%,0.64%,3.71%
PA,American Amber / Red Ale,2,47,4.26%,5.49%,-1.23%
PA,American Double / Imperial IPA,2,47,4.26%,5.35%,-1.09%
PA,Fruit / Vegetable Beer,2,47,4.26%,2.14%,2.12%
PA,Kölsch,2,47,4.26%,1.92%,2.33%
PA,Saison / Farmhouse Ale,2,47,4.26%,1.64%,2.62%
PA,Tripel,2,47,4.26%,0.29%,3.97%
PA,Winter Warmer,2,47,4.26%,0.57%,3.69%
AZ,American Blonde Ale,1,23,4.35%,4.35%,0.00%
AZ,American Double / Imperial IPA,1,23,4.35%,5.35%,-1.00%
AZ,American Pilsner,1,23,4.35%,1.00%,3.35%
AZ,Kölsch,1,23,4.35%,1.92%,2.42%
AZ,Scottish Ale,1,23,4.35%,0.78%,3.56%
AZ,Winter Warmer,1,23,4.35%,0.57%,3.78%
IA,American Amber / Red Ale,1,25,4.00%,5.49%,-1.49%
IA,American Blonde Ale,1,25,4.00%,4.35%,-0.35%
IA,Doppelbock,1,25,4.00%,0.14%,3.86%
IA,Fruit / Vegetable Beer,1,25,4.00%,2.14%,1.86%
IA,German Pilsener,1,25,4.00%,1.21%,2.79%
IA,Märzen / Oktoberfest,1,25,4.00%,1.50%,2.50%
IA,Saison / Farmhouse Ale,1,25,4.00%,1.64%,2.36%
IA,Scottish Ale,1,25,4.00%,0.78%,3.22%
IA,Vienna Lager,1,25,4.00%,1.00%,3.00%
IA,Witbier,1,25,4.00%,1.71%,2.29%
MA,American Pale Ale (APA),2,51,3.92%,10.91%,-6.98%
MA,American Pale Wheat Ale,2,51,3.92%,4.35%,-0.43%
MA,Fruit / Vegetable Beer,2,51,3.92%,2.14%,1.78%
CA,American Blonde Ale,5,135,3.70%,4.35%,-0.64%
CA,Fruit / Vegetable Beer,5,135,3.70%,2.14%,1.57%
CA,Hefeweizen,5,135,3.70%,1.92%,1.78%
CA,Kölsch,5,135,3.70%,1.92%,1.78%
MO,American Amber / Red Ale,1,29,3.45%,5.49%,-2.04%
MO,American Brown Ale,1,29,3.45%,2.71%,0.74%
